,0
587,Paris 2023 Ancient Souvenir Package
588,MP5-SD | Kitbash (Field-Tested)
589,Dual Berettas | Contractor (Field-Tested)
590,M4A4 | 龍王 (Dragon King) (Minimal Wear)
591,P90 | Vent Rush (Field-Tested)
592,SG 553 | Dragon Tech (Field-Tested)
593,AWP | Exoskeleton (Field-Tested)
594,StatTrak™ AWP | Atheris (Field-Tested)
595,M4A4 | In Living Color (Battle-Scarred)
596,M4A1-S | Leaded Glass (Minimal Wear)
597,StatTrak™ AK-47 | Elite Build (Minimal Wear)
598,Sawed-Off | Kiss♥Love (Field-Tested)
599,M4A1-S | Player Two (Battle-Scarred)
600,Sticker | PGL (Holo) | Antwerp 2022
601,SCAR-20 | Sand Mesh (Field-Tested)
602,AK-47 | Safari Mesh (Minimal Wear)
603,Desert Eagle | Conspiracy (Minimal Wear)
604,SG 553 | Anodized Navy (Factory New)
605,USP-S | Black Lotus (Minimal Wear)
606,AWP | Pit Viper (Field-Tested)
607,Glock-18 | Bullet Queen (Field-Tested)
608,Sticker | Kawaii CT (Holo)
609,Dual Berettas | Flora Carnivora (Field-Tested)
610,P250 | Franklin (Factory New)
611,Desert Eagle | Code Red (Battle-Scarred)
612,AWP | PAW (Minimal Wear)
613,AK-47 | Phantom Disruptor (Minimal Wear)
614,AK-47 | Emerald Pinstripe (Minimal Wear)
615,UMP-45 | Wild Child (Minimal Wear)
616,Sticker | The MongolZ (Holo) | Paris 2023
617,P2000 | Wicked Sick (Field-Tested)
618,P2000 | Amber Fade (Minimal Wear)
619,R8 Revolver | Fade (Field-Tested)
620,Slingshot | Phoenix
621,Sticker | Copenhagen Flames (Holo) | Stockholm 2021
622,Sticker | Apeks (Glitter) | Paris 2023
623,Sticker | Complexity Gaming (Glitter) | Paris 2023
624,StatTrak™ USP-S | Ticket to Hell (Minimal Wear)
625,Glock-18 | Umbral Rabbit (Field-Tested)
626,G3SG1 | Black Sand (Battle-Scarred)
627,Sawed-Off | Amber Fade (Factory New)
628,P2000 | Granite Marbleized (Field-Tested)
629,Desert Eagle | Sputnik (Minimal Wear)
630,P90 | Neoqueen (Field-Tested)
631,"Music Kit | Denzel Curry, ULTIMATE"
632,AWP | Phobos (Factory New)
